Data Entry Type	Customer Account	Display Name	Return Name	Owner	Amount Due	Due Date	Imported Data	Held Tax	Held Exempt	State	Additional Filing	Workflow	Reg ID	Legal Entity	Payment Type	Filing Type	Filing Frequency	Import Data Threshold	Threshold Amount	State Supports Prepayments	Client Has Prepayments	Country	Creation Date	Modified Date	Amended	Return ID	SST Status	Payment Status	Payment ID	Valid Return	Do Not File	Web File	Threshold	Workflow Condition	Printing Condition	Local Reg ID	Final Print Status	Manual Print
Automatic	ENCOMSTS	Encompass Group, LLC	LA R-1029	JBerreta	562.00	20	567.45	No	No	LA		Review Return	1959048001	ENCOMPASS	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	09/04/2023	09/04/2023	No	1302286		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal	1959048001	NOT READY N/A	No
Automatic	ENCOMSTS	Encompass Group, LLC	LA St. Tammany	JBerreta	8.00	20	7.67	No	No	LA		Review Return	1959048001	ENCOMPASS	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	09/05/2023	09/05/2023	No	1302333		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal	89000378	NOT READY N/A	No
Automatic	ENCOMSTS	Encompass Group, LLC	LA Vermilion	JBerreta	33.59	20	34.28	No	No	LA		Review Return	1959048001	ENCOMPASS	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	09/05/2023	09/05/2023	No	1302334		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal	15157	NOT READY N/A	No
Automatic	ENCOMSTS	Encompass Group, LLC	LA Allen	JBerreta	0.00	20	0.00	No	No	LA		Review Return	1959048001	ENCOMPASS	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	09/05/2023	09/05/2023	No	1302335		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal	3801969	NOT READY N/A	No
Automatic	ENCOMSTS	Encompass Group, LLC	LA Ascension	JBerreta	0.00	20	0.00	No	No	LA		Review Return	1959048001	ENCOMPASS	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	09/05/2023	09/05/2023	No	1302336		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal	0015233	NOT READY N/A	No
Automatic	ENCOMSTS	Encompass Group, LLC	LA Bienville	JBerreta	202.00	20	205.56	No	No	LA		Review Return	1959048001	ENCOMPASS	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	09/05/2023	09/05/2023	No	1302337		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal	99999777	NOT READY N/A	No
Automatic	ENCOMSTS	Encompass Group, LLC	LA Caddo-Shreveport	JBerreta	34.82	20	35.17	No	No	LA		Review Return	1959048001	ENCOMPASS	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	09/05/2023	09/05/2023	No	1302338		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal	30072	NOT READY N/A	No
Automatic	ENCOMSTS	Encompass Group, LLC	LA East Baton Rouge	JBerreta	0.00	20	0.00	No	No	LA		Review Return	1959048001	ENCOMPASS	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	09/05/2023	09/05/2023	No	1302339		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal	00721915	NOT READY N/A	No
Automatic	ENCOMSTS	Encompass Group, LLC	LA Jefferson	JBerreta	0.00	20	0.00	No	No	LA		Review Return	1959048001	ENCOMPASS	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	09/05/2023	09/05/2023	No	1302340		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal	50171916	NOT READY N/A	No
Automatic	ENCOMSTS	Encompass Group, LLC	LA Jefferson Davis	JBerreta	0.00	20	0.00	No	No	LA		Review Return	1959048001	ENCOMPASS	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	09/05/2023	09/05/2023	No	1302341		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal	00012435	NOT READY N/A	No
Automatic	ENCOMSTS	Encompass Group, LLC	LA Lafayette	JBerreta	14.39	20	14.54	No	No	LA		Review Return	1959048001	ENCOMPASS	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	09/05/2023	09/05/2023	No	1302342		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal	35993	NOT READY N/A	No
