Data Entry Type	Customer Account	Display Name	Return Name	Owner	Amount Due	Due Date	Imported Data	Held Tax	Held Exempt	State	Additional Filing	Workflow	Reg ID	Legal Entity	Payment Type	Filing Type	Filing Frequency	Import Data Threshold	Threshold Amount	State Supports Prepayments	Client Has Prepayments	Country	Creation Date	Modified Date	Amended	Return ID	SST Status	Payment Status	Payment ID	Valid Return	Do Not File	Web File	Threshold	Workflow Condition	Printing Condition	Local Reg ID	Final Print Status	Manual Print
Automatic	SHELFSTS	Shelf Reliance DBA: Thrive Life	RI T-204M	DKozloski	37.98	20	37.98	No	No	RI		Filed	20181565500	SHELFRELINT	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/04/2023	01/09/2023	No	1267004		Transmitted	1284679	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	HEARTSSTS	Hearts On Fire Company LLC	RI T-204Q	bmichel	0.00	20	0.00	No	No	RI		Filed	4356330900	HEARTSONFIRE	ELECTRONIC	Standard	Quarterly	No	0.00	No	No	US	01/04/2023	01/11/2023	No	1267021		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	ENCOMSTS	Encompass Group, LLC	RI T-204M	AFraher	43.28	20	43.28	No	No	RI		Filed	58247143700	ENCOMPASS	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/05/2023	01/10/2023	No	1267365		Transmitted	1285646	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	BYRAMHLTH1	Byram Healthcare	RI T-204M	JHanron	321.10	20	321.10	No	No	RI		Filed	22286216700	BYRAM	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/05/2023	01/10/2023	No	1267690		Transmitted	1285317	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	ONEVIS	OneVision, Inc.	RI T-204Q	SMatheus	0.00	20	0.00	No	No	RI		Filed	23293826700	ONEVISION	ELECTRONIC	Standard	Quarterly	No	0.00	No	No	US	01/05/2023	01/10/2023	No	1267751		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	MARSUP1	Marjam Supply Co., Inc.	RI T-204M	SDrew	609.98	20	609.98	No	No	RI		Filed	11250721600	MarjSuppCo	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/05/2023	01/11/2023	No	1268044		Transmitted	1289761	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	MARSUP1	Marjam K Supply LLC	RI T-204M	SDrew	0.00	20	0.00	No	No	RI		Filed	84302005800	MarjKLLC	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/05/2023	01/11/2023	No	1268045		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	JAMARSHSTS	JOHN A MARSHALL COMPANY	RI T-204M	PBiagioli	0.00	20	0.00	No	No	RI		Filed	48103400200	MARSHALL	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/06/2023	01/12/2023	No	1268136		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	HANNAANDER	Hanna Andersson, LLC	RI T-204M	RAmato	286.46	20	286.46	No	No	RI		Filed	94338126100	HANNAANDERSON	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/06/2023	01/11/2023	No	1268375		Transmitted	1289765	Yes	No	No	None	Normal	Normal		TRANSMITTED	No
Automatic	MALVERNSTS	Malvern Panalytical Inc	RI T-204M	MHeadden	0.00	20	0.00	No	No	RI		Filed	04285094500	MALVERN	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/06/2023	01/12/2023	No	1268499		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	SAFEGUARD2	Safeguard Properties Management LLC	RI T-204Q	JBerreta	0.00	20	0.00	No	No	RI		Filed	90088159000	SFGRDSTS	ELECTRONIC	Standard	Quarterly	No	0.00	No	No	US	01/07/2023	01/12/2023	No	1268575		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	ALLIDIGI	ALLIED DIGITAL SERVICES, LLC	RI T-204Q	SPatti	0.00	20	0.00	No	No	RI		Filed	2-0302-8615	ALLIDIGI	ELECTRONIC	Standard	Quarterly	No	0.00	No	No	US	01/07/2023	01/11/2023	No	1268683		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	RCCLSTS	Celebrity Cruises, Inc.	RI T-204M	MVilardi	2.84	20	0.00	No	No	RI		Filed	65037940900	RCCCI	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/07/2023	01/13/2023	No	1268771		Transmitted	1293900	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	RCCLSTS	Royal Caribbean Cruises LTD.	RI T-204M	MVilardi	7.47	20	7.47	No	No	RI		Filed	98008164500	RCRCL	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/07/2023	01/13/2023	No	1268772		Transmitted	1293901	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	WGLIT	EthosEnergy Light Turbines LLC	RI T-204Q	SPatti	0.00	20	0.00	No	No	RI		Filed	72096905200	WOODGROUP	ELECTRONIC	Standard	Quarterly	No	0.00	No	No	US	01/07/2023	01/11/2023	No	1268857		Not Transmitted	0	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	APRESS	The Associated Press	RI T-204M	MVilardi	0.00	20	0.00	No	No	RI		Filed	13045288000	ASSOCIATEDPRESS	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/07/2023	01/12/2023	No	1268966		Not Transmitted	0	Yes	No	No	None	Normal	Normal		TRANSMITTED	No
Automatic	hubert1	Hubert Company LLC	RI T-204M	CLeckband	385.96	20	385.96	No	No	RI		Filed	31173372300	HUBERT	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/07/2023	01/11/2023	No	1269055		Transmitted	1289764	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	hubert1	Retail Resource	RI T-204M	CLeckband	23.83	20	23.83	No	No	RI		Filed	2-0950-7820	RETRES	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/07/2023	01/11/2023	No	1269057		Transmitted	1289763	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	DUPLI	Matt Industries, Inc	RI T-204M	FGambande	265.97	20	265.97	No	No	RI		Filed	14162183700	DUPLI	ELECTRONIC	Standard	Monthly	No	0.00	No	No	US	01/07/2023	01/13/2023	No	1269089		Transmitted	1293902	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
Automatic	UNISEN2	Core Health & Fitness, LLC	RI T-204Q	LRuiz	11754.75	20	11754.75	No	No	RI		Filed	452873763	COREHF	ELECTRONIC	Standard	Quarterly	No	0.00	No	No	US	01/07/2023	01/13/2023	No	1269119		Transmitted	1293904	Yes	No	Yes	None	Normal	Normal		NOT READY N/A	No
